species,spec_code,nutrient,value,sample_size,variance,sample_form,prep_form,environment
Merluccius_australis,322,Protein,15.02,,,whole,wet,marine
Merluccius_australis,322,Protein,16.29,,,whole,wet,marine
Merluccius_hubbsi,325,Protein,12.91,,,whole,wet,marine
Merluccius_hubbsi,325,Protein,16.38,,,whole,wet,marine
Coelorinchus_fasciatus,7131,Protein,13.34,,,whole,wet,marine
Genypterus_blacodes,482,Protein,13.69,,,whole,wet,marine
Genypterus_blacodes,482,Protein,12.48,,,whole,wet,marine
Sebastes_oculatus,12084,Protein,16.61,,,whole,wet,marine
Prionotus_nudigula,14029,Protein,13.36,,,whole,wet,marine
Congiopodus_peruvianus,8398,Protein,12.21,,,whole,wet,marine
Acanthistius_brasilianus,351,Protein,12.41,,,whole,wet,marine
Brama_brama,391,Protein,17.59,,,whole,wet,marine
Brama_brama,391,Protein,19.16,,,whole,wet,marine
Iluocoetes_fimbriatus,12894,Protein,8.82,,,whole,wet,marine
Cottoperca_gobio,51212,Protein,13.93,,,whole,wet,marine
Parona_signata,386,Protein,16.23,,,whole,wet,marine
Nemadactylus_bergi,460,Protein,17.57,,,whole,wet,marine
Nemadactylus_bergi,460,Protein,15.94,,,whole,wet,marine
Dissostichus_eleginoides,467,Protein,15.64,,,whole,wet,marine
Patagonotothen_ramsayi,10308,Protein,18.9,,,whole,wet,marine
Patagonotothen_ramsayi,10308,Protein,15.24,,,whole,wet,marine
Pseudopercis_semifasciata,50136,Protein,14.56,,,whole,wet,marine
Seriolella_punctata,12922,Protein,15.93,,,whole,wet,marine
Seriolella_punctata,12922,Protein,13.72,,,whole,wet,marine
Stromateus_brasiliensis,12930,Protein,12.13,,,whole,wet,marine
Stromateus_brasiliensis,12930,Protein,11.8,,,whole,wet,marine
Cottunculus_granulosus,51209,Protein,11.01,,,whole,wet,marine
Paralichthys_patagonicus,14127,Protein,12.11,,,whole,wet,marine
Mancopsetta_maculata,7121,Protein,27.9,,,whole,wet,marine
Squalus_acanthias,139,Protein,13.51,,,whole,wet,marine
Squalus_acanthias,139,Protein,12.07,,,whole,wet,marine
Schroederichthys_bivius,838,Protein,10.44,,,whole,wet,marine
Schroederichthys_bivius,838,Protein,11.8,,,whole,wet,marine
Thaleichthys_pacificus,256,Protein,11.79,14,0.14,whole,wet,marine
Thaleichthys_pacificus,256,Protein,12.21,9,0.16,whole,wet,marine
Thaleichthys_pacificus,256,Protein,12.16,34,0.18,whole,wet,marine
Thaleichthys_pacificus,256,Protein,12.73,1,,whole,wet,marine
Thaleichthys_pacificus,256,Protein,12.73,1,,whole,wet,marine
Thaleichthys_pacificus,256,Protein,12.5,5,0.09,whole,wet,marine
Mallotus_villosus,252,Protein,15.07,2,0.17,whole,wet,marine
Mallotus_villosus,252,Protein,13.18,2,0.11,whole,wet,marine
Mallotus_villosus,252,Protein,15.38,2,0.02,whole,wet,marine
Mallotus_villosus,252,Protein,14.08,5,0.53,whole,wet,marine
Mallotus_villosus,252,Protein,14.03,6,0.18,whole,wet,marine
Mallotus_villosus,252,Protein,14.8,5,0.32,whole,wet,marine
Ammodytes_hexapterus,3822,Protein,15.65,5,0.07,whole,wet,marine
Ammodytes_hexapterus,3822,Protein,15.78,5,0.19,whole,wet,marine
Ammodytes_hexapterus,3822,Protein,17.77,5,0.42,whole,wet,marine
Ammodytes_hexapterus,3822,Protein,16.95,1,,whole,wet,marine
Ammodytes_hexapterus,3822,Protein,15.81,2,0.11,whole,wet,marine
Trichodon_trichodon,3682,Protein,15.03,6,0.39,whole,wet,marine
Trichodon_trichodon,3682,Protein,15.26,3,0.02,whole,wet,marine
Lumpenus,1457,Protein,16.74,4,0.51,whole,wet,marine
Osmerus_mordax,253,Protein,17.94,3,0.5,whole,wet,marine
Theragra_chalcogramma,318,Protein,14.02,2,0.37,whole,wet,marine
Zaprora_silenus,3819,Protein,10.26,2,0.28,whole,wet,marine
Hypomesus_pretiosus,255,Protein,18.42,2,1.01,whole,wet,marine
Pleurogrammus_monopterygius,4037,Protein,17.72,1,,whole,wet,marine
Clupea_harengus,24,Protein,12.1,1,,whole,wet,marine
Aphanopus_carbo,646,Protein,15.7,1,0.04,muscle,wet,marine
Aphanopus_carbo,646,Zinc,0.5,1,0.09,muscle,wet,marine
Aphanopus_carbo,646,Calcium,14,1,4.21,muscle,wet,marine
Aphanopus_carbo,646,Iron,0.1,1,0.03,muscle,wet,marine
Aphanopus_carbo,646,Omega_3,0.2108,1,0.01023,muscle,wet,marine
Pampus_argenteus,491,Protein,17.2,1,,whole_parts,wet,marine
Pampus_argenteus,491,Zinc,0.66,1,,whole_parts,wet,marine
Pampus_argenteus,491,Calcium,31,1,,whole_parts,wet,marine
Pampus_argenteus,491,Iron,0.34,1,,whole_parts,wet,marine
Pampus_argenteus,491,Selenium,78,1,,whole_parts,wet,marine
Stolephorus_tri,577,Protein,17.6,1,,whole_parts,wet,marine
Stolephorus_tri,577,Zinc,3.1,1,,whole_parts,wet,marine
Stolephorus_tri,577,Calcium,1500,1,,whole_parts,wet,marine
Stolephorus_tri,577,Iron,1.6,1,,whole_parts,wet,marine
Stolephorus_tri,577,Selenium,56,1,,whole_parts,wet,marine
Johnius_belangerii,5520,Protein,18.1,1,,whole_parts,wet,marine
Johnius_belangerii,5520,Zinc,2.1,1,,whole_parts,wet,marine
Johnius_belangerii,5520,Calcium,1900,1,,whole_parts,wet,marine
Johnius_belangerii,5520,Iron,1.7,1,,whole_parts,wet,marine
Johnius_belangerii,5520,Selenium,110,1,,whole_parts,wet,marine
Scomberomorus_guttatus,123,Protein,20.5,1,,whole_parts,wet,marine
Scomberomorus_guttatus,123,Zinc,0.7,1,,whole_parts,wet,marine
Scomberomorus_guttatus,123,Calcium,34,1,,whole_parts,wet,marine
Scomberomorus_guttatus,123,Iron,0.49,1,,whole_parts,wet,marine
Scomberomorus_guttatus,123,Selenium,57,1,,whole_parts,wet,marine
Platycephalus_indicus,950,Protein,18.8,1,,whole_parts,wet,marine
Platycephalus_indicus,950,Zinc,0.79,1,,whole_parts,wet,marine
Platycephalus_indicus,950,Calcium,150,1,,whole_parts,wet,marine
Platycephalus_indicus,950,Iron,1.7,1,,whole_parts,wet,marine
Platycephalus_indicus,950,Selenium,51,1,,whole_parts,wet,marine
Chelon_parsia,4668,Protein,16.1,1,,whole_parts,wet,mixed
Chelon_parsia,4668,Zinc,0.84,1,,whole_parts,wet,mixed
Chelon_parsia,4668,Calcium,66,1,,whole_parts,wet,mixed
Chelon_parsia,4668,Iron,1.3,1,,whole_parts,wet,mixed
Chelon_parsia,4668,Selenium,20,1,,whole_parts,wet,mixed
Chelon_parsia,4668,Omega_3,1.435,1,,whole_parts,wet,mixed
Eleutheronema_tetradactylum,340,Protein,20.6,1,,whole_parts,wet,marine
Eleutheronema_tetradactylum,340,Zinc,0.9,1,,whole_parts,wet,marine
Eleutheronema_tetradactylum,340,Calcium,37,1,,whole_parts,wet,marine
Eleutheronema_tetradactylum,340,Iron,0.6,1,,whole_parts,wet,marine
Eleutheronema_tetradactylum,340,Selenium,46,1,,whole_parts,wet,marine
Sillaginopsis_panijus,402,Protein,19.3,1,,whole_parts,wet,marine
Sillaginopsis_panijus,402,Zinc,0.89,1,,whole_parts,wet,marine
Sillaginopsis_panijus,402,Calcium,230,1,,whole_parts,wet,marine
Sillaginopsis_panijus,402,Iron,2.1,1,,whole_parts,wet,marine
Sillaginopsis_panijus,402,Selenium,52,1,,whole_parts,wet,marine
Sillaginopsis_panijus,402,Vitamin_A,20,1,,whole_parts,wet,marine
Glossogobius_giuris,4833,Protein,16.6,1,,whole_parts,wet,mixed
Glossogobius_giuris,4833,Zinc,2.1,1,,whole_parts,wet,mixed
Glossogobius_giuris,4833,Calcium,790,1,,whole_parts,wet,mixed
Glossogobius_giuris,4833,Iron,2.3,1,,whole_parts,wet,mixed
Glossogobius_giuris,4833,Selenium,31,1,,whole_parts,wet,mixed
Glossogobius_giuris,4833,Vitamin_A,18,1,,whole_parts,wet,mixed
Hyporhamphus_limbatus,8313,Protein,17.9,1,,whole_parts,wet,mixed
Hyporhamphus_limbatus,8313,Zinc,3.6,1,,whole_parts,wet,mixed
Hyporhamphus_limbatus,8313,Calcium,1300,1,,whole_parts,wet,mixed
Hyporhamphus_limbatus,8313,Iron,1.5,1,,whole_parts,wet,mixed
Hyporhamphus_limbatus,8313,Selenium,28,1,,whole_parts,wet,mixed
Hyporhamphus_limbatus,8313,Vitamin_A,98,1,,whole_parts,wet,mixed
Corica_soborna,1566,Protein,11.9,1,,whole,wet,mixed
Corica_soborna,1566,Zinc,3.1,1,,whole,wet,mixed
Corica_soborna,1566,Calcium,476,1,,whole,wet,mixed
Corica_soborna,1566,Iron,2.8,1,,whole,wet,mixed
Corica_soborna,1566,Selenium,7.5,1,,whole,wet,mixed
Corica_soborna,1566,Vitamin_A,78,1,,whole,wet,mixed
Xenentodon_cancila,10124,Protein,17.1,1,,whole_parts,wet,mixed
Xenentodon_cancila,10124,Zinc,1.9,1,,whole_parts,wet,mixed
Xenentodon_cancila,10124,Calcium,610,1,,whole_parts,wet,mixed
Xenentodon_cancila,10124,Iron,0.65,1,,whole_parts,wet,mixed
Xenentodon_cancila,10124,Selenium,29,1,,whole_parts,wet,mixed
Xenentodon_cancila,10124,Vitamin_A,91,1,,whole_parts,wet,mixed
Eleotris_fusca,8034,Protein,16.9,1,,whole_parts,wet,mixed
Eleotris_fusca,8034,Zinc,2,1,,whole_parts,wet,mixed
Eleotris_fusca,8034,Calcium,980,1,,whole_parts,wet,mixed
Eleotris_fusca,8034,Iron,0.79,1,,whole_parts,wet,mixed
Eleotris_fusca,8034,Selenium,49,1,,whole_parts,wet,mixed
Eleotris_fusca,8034,Vitamin_A,37,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Protein,16.4,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Zinc,1.2,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Calcium,220,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Iron,1.9,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Selenium,40,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Vitamin_A,20,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Omega_3,2.034,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Protein,19,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Zinc,1.8,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Calcium,500,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Iron,2.5,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Selenium,41,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Vitamin_A,14,1,,whole_parts,wet,mixed
Tenualosa_ilisha,1596,Omega_3,0.875,1,,whole_parts,wet,mixed
Trachurus_trachurus,1365,Protein,14.78,2,2.12,muscle,wet,marine
Alosa_fallax,5355,Protein,16.43,2,2.46,muscle,wet,marine
Belone_belone,47,Protein,16.89,2,1.64,muscle,wet,marine
Liza_aurata,1735,Protein,16.19,2,1.44,muscle,wet,marine
Caranx_hippos,71,Protein,19.02,3,,muscle,wet,marine
Caranx_hippos,71,Omega_3,0.23235,3,,muscle,wet,marine
Sciaenops_ocellatus,1191,Protein,23.89,3,,muscle,wet,marine
Sciaenops_ocellatus,1191,Omega_3,0.18941,3,,muscle,wet,marine
Scomber_japonicus,117,Protein,22.63,6,0.03,muscle,wet,marine
Scomber_japonicus,117,Omega_3,0.038256012,2,,muscle,wet,marine
Scomber_japonicus,117,Protein,20.56,6,0.02,muscle,wet,marine
Scomber_japonicus,117,Omega_3,0.328866328,2,,muscle,wet,marine
Scomber_japonicus,117,Protein,21.62,6,0.01,muscle,wet,marine
Scomber_japonicus,117,Omega_3,0.177930858,2,,muscle,wet,marine
Trachurus_trachurus,1365,Protein,20.06,6,0.12,muscle,wet,marine
Trachurus_trachurus,1365,Omega_3,0.05658584,2,,muscle,wet,marine
Trachurus_trachurus,1365,Protein,20.13,6,0.01,muscle,wet,marine
Trachurus_trachurus,1365,Omega_3,0.333563595,2,,muscle,wet,marine
Trachurus_trachurus,1365,Protein,18.66,6,0.25,muscle,wet,marine
Trachurus_trachurus,1365,Omega_3,0.111469776,2,,muscle,wet,marine
Raja_clavata,2059,Protein,18.58,3,0.19,muscle,wet,marine
Raja_clavata,2059,Omega_3,0.8,,,muscle,wet,marine
Squalus_acanthias,139,Protein,18.54,3,0.14,muscle,wet,marine
Squalus_acanthias,139,Omega_3,1.02,,,muscle,wet,marine
Centropomus_parallelus,1014,Protein,20.1,12,,muscle,wet,marine
Centropomus_parallelus,1014,Omega_3,0.4118675,12,,muscle,wet,marine
Macrodon_ancylodon,417,Protein,18.8,16,,muscle,wet,marine
Macrodon_ancylodon,417,Omega_3,0.42835595,16,,muscle,wet,marine
Micropogonias_furnieri,7620,Protein,19.6,11,,muscle,wet,marine
Micropogonias_furnieri,7620,Omega_3,0.19263044,11,,muscle,wet,marine
Mugil_liza,1090,Protein,20.9,14,,muscle,wet,marine
Mugil_liza,1090,Omega_3,0.41745025,14,,muscle,wet,marine
Gadus_macrocephalus,308,Protein,18.7,3,0.67,muscle,wet,marine
Ophiodon_elongatus,509,Protein,18.35,3,1.2,muscle,wet,marine
Sebastes_flavidus,503,Protein,18.78,3,1.35,muscle,wet,marine
Sebastes_pinniger,3989,Protein,18.88,3,0.42,muscle,wet,marine
Sebastes_melanops,3979,Protein,19.15,3,0.26,muscle,wet,marine
Microstomus_pacificus,4247,Protein,16.81,3,0.69,muscle,wet,marine
Isopsetta_isolepis,4242,Protein,19.4,3,0.94,muscle,wet,marine
Parophrys_vetulus,4248,Protein,15.48,3,0.69,muscle,wet,marine
Platichthys_stellatus,4249,Protein,17.83,2,,muscle,wet,marine
Merluccius_productus,326,Protein,16.87,1,,muscle,wet,marine
Oncorhynchus_tshawytscha,244,Protein,20.17,3,0.84,muscle,wet,mixed
Thunnus_alalunga,142,Protein,23.96,3,1.1,muscle,wet,marine
Merluccius_productus,326,Omega_3,0.206680369,8,0.006026608,muscle,wet,marine
Theragra_chalcogramma,318,Omega_3,0.266678023,8,0.01069326,muscle,wet,marine
Hypomesus_pretiosus,255,Omega_3,1.06700333,8,0.05361135,whole,wet,marine
Sebastes_pinniger,3989,Omega_3,0.995782263,8,0.026801593,muscle,wet,marine
Oncorhynchus_gorbuscha,240,Omega_3,1.240885205,8,0.066950415,muscle,wet,marine
Mallotus_villosus,252,Omega_3,0.9645977,8,0.08722917,whole,wet,marine
Sardinops_sagax,1477,Omega_3,2.998954899,8,0.209651602,whole,wet,marine
Clupea_pallasii_pallasii,1520,Omega_3,2.041444966,8,0.22308165,muscle,wet,marine
Atherina_boyeri,1696,Protein,16.42,,0.38,muscle,wet,mixed
Dissostichus_mawsoni,7039,Protein,15.4,1,,muscle,wet,marine
Lepidonotothen_squamifrons,7045,Protein,10.5,1,,whole,wet,marine
Pagothenia_borchgrevinki,7049,Protein,16.4,1,,whole,wet,marine
Pagothenia_borchgrevinki,7049,Protein,14.9,4,2.4,whole,wet,marine
Pagothenia_borchgrevinki,7049,Protein,13.9,4,1.8,whole,wet,marine
Pleuragramma_antarctica,472,Protein,8.3,1,,whole,wet,marine
Trematomus_bernacchii,7053,Protein,14.5,1,,whole,wet,marine
Trematomus_bernacchii,7053,Protein,16.7,1,,whole,wet,marine
Trematomus_bernacchii,7053,Protein,15.2,4,3.4,whole,wet,marine
Trematomus_eulepidotus,7054,Protein,15.1,1,,whole,wet,marine
Trematomus_hansoni,7055,Protein,15.4,7,1.5,whole,wet,marine
Trematomus_lepidorhinus,7056,Protein,15.1,1,,whole,wet,marine
Trematomus_pennellii,7060,Protein,14.2,1,,whole,wet,marine
Trematomus_scotti,7061,Protein,14.8,1,,whole,wet,marine
Electrona_antarctica,6984,Protein,12.2,1,,whole,wet,marine
Electrona_carlsbergi,6985,Protein,13.9,1,,whole,wet,marine
Gymnoscopelus_braueri,6989,Protein,13.7,1,,whole,wet,marine
Gymnoscopelus_nicholsi,6990,Protein,14.3,1,,whole,wet,marine
Bathylagus_antarcticus,6960,Protein,7.7,1,,whole,wet,marine
Macruronus_novaezelandiae,1825,Protein,19.5,11,1,whole_parts,wet,marine
Lepidorhynchus_denticulatus,8483,Protein,18.2,10,1.7,whole_parts,wet,marine
Pseudophycis_bachus,2020,Protein,18,5,1,whole,wet,marine
Squalus_acanthias,139,Protein,19.3,2,0.2,whole_parts,wet,marine
Engraulis_encrasicolus,66,Protein,18.02,,0.92,muscle,wet,marine
Oncorhynchus_mykiss,239,Protein,18.57,,0.57,muscle,wet,mixed
Polyprion_americanus,349,Protein,19.67,5,0.2,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.30396052,5,0.00811764,muscle,wet,marine
Polyprion_americanus,349,Protein,19.46,4,0.4,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.33623694,4,0.00574764,muscle,wet,marine
Polyprion_americanus,349,Protein,19.9,5,0.3,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.38960203,5,0.00755461,muscle,wet,marine
Polyprion_americanus,349,Protein,19.4,5,0.2,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.29099738,5,0.00535578,muscle,wet,marine
Polyprion_americanus,349,Protein,19.55,5,0.4,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.30099395,5,0.00533407,muscle,wet,marine
Polyprion_americanus,349,Protein,19.16,4,0.3,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.25293708,4,0.00546469,muscle,wet,marine
Polyprion_americanus,349,Protein,20.6,5,0.2,muscle,wet,marine
Polyprion_americanus,349,Omega_3,1.00639378,5,0.02203782,muscle,wet,marine
Polyprion_americanus,349,Protein,19.52,4,0.3,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.25122378,4,0.00395628,muscle,wet,marine
Polyprion_americanus,349,Protein,20.48,4,0.4,muscle,wet,marine
Polyprion_americanus,349,Omega_3,1.0516328,4,0.0181316,muscle,wet,marine
Polyprion_americanus,349,Protein,19.09,4,0.3,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.6258048,4,0.0114079,muscle,wet,marine
Polyprion_americanus,349,Protein,19.62,4,0.4,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.5983929,4,0.01108135,muscle,wet,marine
Polyprion_americanus,349,Protein,20.42,4,0.2,muscle,wet,marine
Polyprion_americanus,349,Omega_3,1.0597176,4,0.01177464,muscle,wet,marine
Polyprion_americanus,349,Protein,20,5,0.3,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.23856835,5,0.0039003,muscle,wet,marine
Polyprion_americanus,349,Protein,19.74,4,0.4,muscle,wet,marine
Polyprion_americanus,349,Omega_3,0.43492448,4,0.00709116,muscle,wet,marine
Mora_moro,1734,Protein,19.16,2,0.17,muscle,wet,marine
Dicologlossa_cuneata,526,Protein,20.83,,,muscle,wet,marine
Dicologlossa_cuneata,526,Omega_3,0.057135008,,,muscle,wet,marine
Dicologlossa_cuneata,526,Protein,20.83,,,muscle,wet,marine
Dicologlossa_cuneata,526,Omega_3,0.068154037,,,muscle,wet,marine
Dicologlossa_cuneata,526,Protein,20.83,,,muscle,wet,marine
Dicologlossa_cuneata,526,Omega_3,0.097269363,,,muscle,wet,marine
Anguilla_anguilla,35,Protein,21.9,,,muscle,wet,marine
Anguilla_anguilla,35,Omega_3,0.779945782,,,muscle,wet,marine
Anguilla_anguilla,35,Protein,21.9,,,muscle,wet,marine
Anguilla_anguilla,35,Omega_3,0.71387492,,,muscle,wet,marine
Anguilla_anguilla,35,Protein,21.9,,,muscle,wet,marine
Anguilla_anguilla,35,Omega_3,0.634975916,,,muscle,wet,marine
Euthynnus_alletteratus,97,Protein,23.97,,,muscle,wet,marine
Euthynnus_alletteratus,97,Omega_3,0.1463644,,,muscle,wet,marine
Euthynnus_alletteratus,97,Protein,23.97,,,muscle,wet,marine
Euthynnus_alletteratus,97,Omega_3,0.268255152,,,muscle,wet,marine
Micromesistius_poutassou,31,Omega_3,0.24,,,muscle,wet,marine
Dicenctrarcchus_punctatus,394,Protein,23.2,,,muscle,wet,marine
Dicenctrarcchus_punctatus,394,Omega_3,0.28,,,muscle,wet,marine
Pagellus_bogaraveo,890,Protein,21.12,,,muscle,wet,marine
Pagellus_bogaraveo,890,Omega_3,0.68090939,,,muscle,wet,marine
Pagellus_bogaraveo,890,Protein,21.12,,,muscle,wet,marine
Pagellus_bogaraveo,890,Omega_3,0.541168887,,,muscle,wet,marine
Pagellus_bogaraveo,890,Protein,21.12,,,muscle,wet,marine
Pagellus_bogaraveo,890,Omega_3,1.749771877,,,muscle,wet,marine
Engraulis_encrasicolus,66,Omega_3,0.996992472,,,muscle,wet,marine
Engraulis_encrasicolus,66,Omega_3,1.39256743,,,muscle,wet,marine
Pagellus_erythrinus,893,Protein,18.77,,,muscle,wet,marine
Pagellus_erythrinus,893,Omega_3,0.6026104,,,muscle,wet,marine
Pagellus_erythrinus,893,Protein,18.77,,,muscle,wet,marine
Pagellus_erythrinus,893,Omega_3,0.168640626,,,muscle,wet,marine
Scomber_scombrus,118,Protein,19.6,,,muscle,wet,marine
Scomber_scombrus,118,Omega_3,0.595121462,,,muscle,wet,marine
Scomber_scombrus,118,Protein,19.6,,,muscle,wet,marine
Scomber_scombrus,118,Omega_3,1.85840805,,,muscle,wet,marine
Scomber_scombrus,118,Protein,19.6,,,muscle,wet,marine
Scomber_scombrus,118,Omega_3,0.936677664,,,muscle,wet,marine
Scomber_scombrus,118,Protein,19.6,,,muscle,wet,marine
Scomber_scombrus,118,Omega_3,2.291235232,,,muscle,wet,marine
Dentex_dentex,439,Protein,22.42,,,muscle,wet,marine
Dentex_dentex,439,Omega_3,0.904612508,,,muscle,wet,marine
Dentex_dentex,439,Protein,22.42,,,muscle,wet,marine
Dentex_dentex,439,Omega_3,0.23027631,,,muscle,wet,marine
Dentex_dentex,439,Protein,22.42,,,muscle,wet,marine
Dentex_dentex,439,Omega_3,0.386593016,,,muscle,wet,marine
Dentex_dentex,439,Protein,22.42,,,muscle,wet,marine
Dentex_dentex,439,Omega_3,0.416144608,,,muscle,wet,marine
Galeorhinus_galeus,4642,Protein,18.77,,,muscle,wet,marine
Galeorhinus_galeus,4642,Omega_3,0.215346158,,,muscle,wet,marine
Galeorhinus_galeus,4642,Protein,18.77,,,muscle,wet,marine
Galeorhinus_galeus,4642,Omega_3,0.199008096,,,muscle,wet,marine
